account_id,customer_id,branch_id,account_type,status,open_date,balance,currency,interest_rate
ACC00000001,CUST0003839,BR0014,Current,Active,2022-09-02,238133.66,USD,5.14
ACC00000002,CUST0005560,BR0014,FD,Active,2026-03-02,38623.63,INR,3.07
ACC00000003,CUST0002651,BR0037,Savings,Dormant,2019-02-05,76117.66,INR,7.42
ACC00000004,CUST0008432,BR0029,Savings,Closed,2019-10-11,60788.93,INR,3.44
ACC00000005,CUST0003255,BR0034,RD,Active,2024-05-07,125460.19,INR,5.95
ACC00000006,CUST0006403,BR0048,Current,Active,2024-11-24,214595.74,INR,6.05
ACC00000007,CUST0007628,BR0006,NRI,Active,2024-09-25,8202.72,USD,3.71
ACC00000008,CUST0008692,BR0043,Savings,Dormant,2023-01-03,30889.48,INR,7.09
ACC00000009,CUST0006220,BR0012,Savings,Dormant,2024-12-13,4105.28,INR,3.23
ACC00000010,CUST0004393,BR0024,Savings,Active,2021-05-18,27430.45,INR,3.16
ACC00000011,CUST0007720,BR0045,RD,Closed,2022-03-21,17866.91,INR,3.18
ACC00000012,CUST0009622,BR0029,Savings,Active,2019-05-28,51818.93,INR,7.93
ACC00000013,CUST0008719,BR0010,FD,Active,2018-07-13,68452.31,INR,5.18
ACC00000014,CUST0005852,BR0046,Current,Active,2020-01-15,6710.54,INR,4.02
ACC00000015,CUST0001809,BR0036,Savings,Active,2025-01-06,42232.06,INR,3.62
ACC00000016,CUST0009403,BR0034,Savings,Active,2023-07-15,12853.93,INR,7.47
ACC00000017,CUST0008176,BR0032,Savings,Active,2025-12-23,9797.32,INR,6.48
ACC00000018,CUST0009241,BR0032,Current,Active,2019-12-08,64797.89,INR,4.02
ACC00000019,CUST0004395,BR0015,Savings,Active,2019-04-21,16818.51,EUR,3.01
ACC00000020,CUST0004669,BR0009,RD,Active,2025-04-05,19990.44,INR,6.32
ACC00000021,CUST0009347,BR0036,Savings,Closed,2025-09-17,6185.69,INR,5.25
ACC00000022,CUST0005881,BR0022,Current,Active,2019-10-07,10320.39,INR,7.34
ACC00000023,CUST0000676,BR0013,FD,Active,2024-02-17,27915.44,INR,5.23
ACC00000024,CUST0003279,BR0041,Current,Active,2018-05-15,51081.32,INR,4.78
ACC00000025,CUST0002240,BR0044,Current,Dormant,2022-01-23,1114.01,INR,7.91
ACC00000026,CUST0009244,BR0014,Savings,Active,2019-08-31,666.32,INR,6.65
ACC00000027,CUST0000429,BR0026,Savings,Dormant,2022-07-27,3025.14,INR,4.46
ACC00000028,CUST0002132,BR0044,Savings,Active,2020-02-12,62207.32,INR,3.37
ACC00000029,CUST0008690,BR0025,Current,Dormant,2022-01-10,32717.39,INR,5.9
ACC00000030,CUST0003867,BR0022,Current,Active,2020-05-03,560499.05,INR,8.02
ACC00000031,CUST0000851,BR0030,FD,Active,2024-02-01,83854.89,INR,3.66
ACC00000032,CUST0002892,BR0013,Savings,Active,2019-07-08,224042.69,INR,6.02
ACC00000033,CUST0009251,BR0050,NRI,Active,2024-08-11,32308.42,INR,6.47
ACC00000034,CUST0002145,BR0032,Current,Active,2022-03-24,1825.78,INR,4.71
ACC00000035,CUST0008036,BR0037,Savings,Active,2019-01-07,19197.81,INR,2.75
ACC00000036,CUST0006551,BR0019,Savings,Active,2020-04-29,36996.7,INR,7.17
ACC00000037,CUST0007104,BR0035,Current,Active,2021-09-13,89882.98,INR,5.43
ACC00000038,CUST0009974,BR0049,Current,Dormant,2021-08-29,4883.75,INR,8.04
ACC00000039,CUST0008681,BR0029,Savings,Active,2025-03-18,12235.69,INR,7.31
ACC00000040,CUST0008596,BR0007,Savings,Active,2025-01-30,173272.68,INR,3.15
ACC00000041,CUST0005343,BR0035,Current,Active,2018-06-02,2373.68,INR,7.99
ACC00000042,CUST0008595,BR0039,NRI,Active,2021-07-20,59417.32,INR,4.33
ACC00000043,CUST0003658,BR0006,Current,Active,2024-08-17,21253.37,USD,7.59
ACC00000044,CUST0009994,BR0014,Savings,Dormant,2021-04-01,381737.61,INR,6.26
ACC00000045,CUST0000184,BR0028,Savings,Active,2025-11-01,31917.32,INR,5.66
ACC00000046,CUST0006421,BR0001,FD,Active,2022-03-18,14531.95,INR,7.5
ACC00000047,CUST0001517,BR0046,FD,Closed,2023-12-08,14406.3,USD,8.48
ACC00000048,CUST0007463,BR0021,Savings,Active,2022-10-28,65913.38,INR,7.33
ACC00000049,CUST0004157,BR0027,Savings,Dormant,2024-05-19,152058.15,INR,6.79
ACC00000050,CUST0009901,BR0022,Current,Dormant,2023-01-27,8833.72,INR,7.94
ACC00000051,CUST0005086,BR0011,Savings,Active,2022-03-13,24864.75,INR,3.96
ACC00000052,CUST0003694,BR0009,FD,Active,2021-12-31,124993.8,INR,3.05
ACC00000053,CUST0009742,BR0010,Savings,Closed,2023-04-24,27668.05,INR,6.66
ACC00000054,CUST0004411,BR0043,Savings,Active,2019-11-12,17852.91,INR,7.55
ACC00000055,CUST0002792,BR0050,Current,Active,2021-11-29,121936.92,INR,4.86
ACC00000056,CUST0000996,BR0049,Savings,Active,2020-01-20,177904.23,EUR,3.69
ACC00000057,CUST0002857,BR0046,NRI,Active,2021-04-13,6836.29,INR,2.94
ACC00000058,CUST0008844,BR0049,Current,Dormant,2021-06-15,35164.81,INR,6.25
ACC00000059,CUST0007074,BR0039,FD,Active,2020-01-06,59169.87,INR,3.85
ACC00000060,CUST0009085,BR0031,Savings,Dormant,2018-07-11,6477.15,INR,6.43
ACC00000061,CUST0006180,BR0032,Savings,Active,2021-03-12,64408.7,INR,7.26
ACC00000062,CUST0002003,BR0031,Savings,Active,2019-01-08,8775.97,INR,2.72
ACC00000063,CUST0009257,BR0008,NRI,Active,2018-06-24,89701.07,INR,7.37
ACC00000064,CUST0008361,BR0040,Savings,Active,2024-11-27,81854.52,INR,6.6
ACC00000065,CUST0000171,BR0005,Savings,Active,2019-08-08,228481.71,USD,7.28
ACC00000066,CUST0003690,BR0031,Savings,Closed,2020-01-25,1045.19,INR,4.64
ACC00000067,CUST0000739,BR0007,Current,Active,2025-09-13,260854.62,INR,8.13
ACC00000068,CUST0003563,BR0045,Savings,Active,2024-12-26,12774.82,INR,7.71
ACC00000069,CUST0001318,BR0047,Savings,Active,2020-01-06,18287.26,INR,5.4
ACC00000070,CUST0007826,BR0014,Savings,Active,2019-11-11,4678.04,INR,6.08
ACC00000071,CUST0001288,BR0025,Current,Active,2020-12-25,8456.49,INR,5.99
ACC00000072,CUST0006082,BR0021,Current,Dormant,2022-07-13,59822.43,INR,8.45
ACC00000073,CUST0004037,BR0047,Savings,Active,2018-09-17,1611.2,USD,7.85
ACC00000074,CUST0004537,BR0029,Current,Dormant,2025-03-12,10014.12,EUR,6.46
ACC00000075,CUST0008850,BR0046,Savings,Dormant,2019-02-03,8604.64,INR,5.16
ACC00000076,CUST0004204,BR0045,RD,Active,2023-08-31,19732.99,INR,6.46
ACC00000077,CUST0008124,BR0031,Savings,Active,2021-03-03,534.93,INR,3.66
ACC00000078,CUST0005335,BR0004,Savings,Active,2024-12-31,8201.96,INR,5.5
ACC00000079,CUST0007925,BR0041,Savings,Active,2019-10-08,8106.77,INR,2.86
ACC00000080,CUST0003202,BR0046,Savings,Active,2020-12-19,11056.37,INR,3.61
ACC00000081,CUST0008768,BR0029,Savings,Active,2018-11-08,18844.19,INR,5.95
ACC00000082,CUST0008492,BR0049,Current,Active,2024-12-28,7432.97,INR,6.67
ACC00000083,CUST0001893,BR0001,Savings,Active,2018-03-13,209673.58,INR,5.66
ACC00000084,CUST0005482,BR0032,Savings,Active,2018-11-22,86353.84,INR,2.73
ACC00000085,CUST0000224,BR0001,NRI,Active,2019-05-10,21414.71,INR,4.6
ACC00000086,CUST0006721,BR0004,Savings,Active,2023-09-10,49332.3,INR,5.62
ACC00000087,CUST0007655,BR0020,Savings,Active,2021-12-07,412440.87,INR,7.66
ACC00000088,CUST0003649,BR0040,Savings,Active,2019-05-17,190377.07,INR,7.45
ACC00000089,CUST0002742,BR0037,Current,Closed,2022-12-19,10116.94,INR,3.59
ACC00000090,CUST0007153,BR0014,Savings,Active,2019-03-10,215428.61,INR,7.5
ACC00000091,CUST0005228,BR0014,Current,Dormant,2025-08-10,22001.7,INR,5.34
ACC00000092,CUST0005512,BR0002,RD,Active,2024-06-15,37160.59,INR,7.53
ACC00000093,CUST0006220,BR0021,Savings,Active,2021-07-22,38378.42,INR,6.28
ACC00000094,CUST0002298,BR0029,Savings,Active,2018-03-17,9559.1,INR,4.77
ACC00000095,CUST0004337,BR0012,Current,Active,2024-11-10,569706.94,EUR,3.42
ACC00000096,CUST0007394,BR0018,Savings,Active,2025-04-20,33610.64,INR,3.01
ACC00000097,CUST0009892,BR0038,Savings,Active,2023-05-06,576383.18,INR,5.14
ACC00000098,CUST0003335,BR0041,Current,Active,2019-10-27,29887.3,INR,3.74
ACC00000099,CUST0002063,BR0032,Current,Active,2019-02-03,811.29,INR,4.21
ACC00000100,CUST0008857,BR0041,Current,Active,2018-10-13,5318.51,INR,8.17
ACC00000101,CUST0008688,BR0022,Current,Active,2021-06-04,9513.13,INR,5.54
ACC00000102,CUST0001465,BR0036,Current,Active,2019-07-18,4663.92,INR,3.64
ACC00000103,CUST0003706,BR0042,Savings,Active,2024-08-13,21865.06,INR,2.91
ACC00000104,CUST0006913,BR0012,FD,Active,2018-03-28,9526.8,INR,7.23
ACC00000105,CUST0000436,BR0021,RD,Active,2019-07-26,5080.97,INR,6.0
