customer_id,first_name,last_name,gender,dob,email,phone,city,segment,kyc_status,created_at
CUST0000001,Advika,Chaudry,M,1982-05-06,jagrati84@example.org,+911212894606,Ahmedabad,Retail,Verified,2021-08-12
CUST0000002,Vaishnavi,Oak,M,1977-08-03,warriororinder@example.org,02668910123,Pune,Retail,Verified,2023-08-08
CUST0000003,Sachi,Chand,F,1991-01-01,wsekhon@example.com,+912518023350,Pune,Corporate,Verified,2025-06-26
CUST0000004,Vamakshi,Bal,F,1976-05-27,yasti22@example.com,+914254211699,Mumbai,Retail,Verified,2022-01-30
CUST0000005,Zehaan,Shetty,F,1999-03-04,hiral87@example.org,7330012492,Delhi,HNI,Verified,2021-11-19
CUST0000006,Jacob,Padmanabhan,M,1950-07-19,ekibe@example.com,00952086161,Chennai,Retail,Failed,2021-05-06
CUST0000007,Ishani,Brahmbhatt,F,1984-02-01,jhalak94@example.net,01613149564,Bangalore,Retail,Verified,2024-04-08
CUST0000008,Lila,Samra,M,1974-10-16,hegdeosha@example.org,+916492064425,Mumbai,Retail,Verified,2024-04-06
CUST0000009,Ekansh,Mitra,Other,2002-08-23,amenon@example.com,00928364003,Ahmedabad,Retail,Failed,2024-08-18
CUST0000010,Rachita,Nayar,F,1953-01-27,nathannadig@example.org,0203098732,Kolkata,Corporate,Verified,2025-06-27
CUST0000011,Adya,Khosla,F,2003-09-12,lataishani@example.net,02234618430,Chennai,Premium,Verified,2025-01-17
CUST0000012,Vamakshi,Chakraborty,M,2005-11-24,zdugar@example.org,08276866826,Jaipur,HNI,Verified,2022-11-29
CUST0000013,Daniel,Hans,M,2005-05-08,krishisaiah@example.net,01422921175,Chennai,Premium,Verified,2025-03-28
CUST0000014,Advik,Bhatnagar,M,1960-03-22,luke03@example.org,4009029463,Mumbai,Retail,Verified,2024-11-07
CUST0000015,Jagrati,Narang,F,1962-06-22,ekapaddara@example.org,+918865467293,Lucknow,Premium,Verified,2022-03-31
CUST0000016,William,Dasgupta,M,2002-03-05,labanpatla@example.net,9284059346,Mumbai,Premium,Verified,2021-04-06
CUST0000017,Upadhriti,Palan,M,1955-03-22,ladlisule@example.com,8241930405,Mumbai,Premium,Verified,2021-10-31
CUST0000018,Veer,Om,M,1977-04-13,kalpitmand@example.org,+915134887450,Mumbai,Retail,Pending,2022-07-12
